Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,control_T1,control_T2,control_T3,control_T4,esg_T1,esg_T2,esg_T3
dpr1,122.1211199,1.15010249,0.694365118,1.65633679,0.097653634,0.351741645,147.2106366,28.17690943,127.1845606,18.16632424,106.3351952,214.5037768,213.2704362
AANATL4,15.08790282,1.406939869,0.849574383,1.656052605,0.097711166,0.35181823,2.044592174,18.11372749,4.929634134,10.21855739,33.03617716,11.06567102,26.20696038
Kap-alpha3,1003.214989,-0.209363794,0.126444486,-1.655776385,0.097767112,0.351889048,1019.229199,1167.329105,939.5882659,1133.124475,985.9234122,898.0217638,879.2887052
CG1427,305.2878531,-0.38742106,0.234051799,-1.655279135,0.097867889,0.352121115,290.3320888,379.3819592,291.8343407,397.3883428,213.702771,329.4165143,234.9589551
aop,454.5551805,0.488519043,0.29520017,1.654873853,0.097950089,0.352286194,525.4601888,368.312459,409.1596331,247.5161678,387.1427011,631.5944538,612.70066
RpLP1,1151.836677,-0.199493307,0.120576107,-1.654501145,0.098025731,0.352427572,1195.064126,1152.234332,1183.112192,1346.578784,1139.748112,949.9452971,1096.173895
Eaf6,273.7790814,-0.324044155,0.195895302,-1.65417012,0.098092952,0.352538583,303.6219379,229.4405483,344.0884625,321.31686,238.4799039,225.5694478,253.9364092
CLS,384.6867417,0.325930946,0.197153592,1.653182894,0.098293647,0.353129028,296.4658653,429.6978689,301.693609,359.920299,489.3483742,430.7099645,384.9712111
GstD8,45.02073632,1.050588986,0.635990959,1.651892955,0.098556374,0.353810819,16.35673739,54.34118248,11.83112192,40.87422954,91.88186774,36.60183492,63.25818023
Topors,159.5264755,-0.346228302,0.209587973,-1.651947375,0.098545279,0.353810819,168.6788544,185.1625477,166.6216337,181.6632424,157.9542221,147.2585452,109.346283
Arc1,910.3892931,0.298938027,0.18102078,1.651401719,0.098656574,0.3540395,927.2225511,856.3767832,891.2778514,639.2275343,937.401527,933.7723933,1187.446412
Surf1,151.1985841,0.583156228,0.353405186,1.650106594,0.098921136,0.354857627,71.5607261,182.1435931,109.4378778,135.1120365,232.2856207,164.2826544,163.5675803
CG13488,622.5598768,-0.329113677,0.199542086,-1.649344676,0.099077042,0.355285511,629.7343897,654.1068262,658.5991203,785.6935235,699.9540037,455.3949229,474.4363517
U2af38,265.2264563,-0.258912577,0.156999107,-1.649134072,0.099120171,0.355308816,261.7077983,258.6237759,314.5106577,306.5567216,236.4151428,237.4863243,241.2847732
unc,6.979287975,1.924985794,1.167840596,1.648329234,0.099285129,0.355768656,4.089184349,3.018954582,0,5.676976326,10.32380536,22.13134205,3.614753156
PIG-Wb,145.5653975,1.285165848,0.780314442,1.646984573,0.099561217,0.356112066,9.200664784,134.846638,48.31041451,168.0384992,341.7179575,93.63260097,223.2110074
CG7330,4.288285882,-2.476343815,1.503576948,-1.646968463,0.099564528,0.356112066,16.35673739,7.044227359,1.971853653,1.135395265,0,1.702410927,1.807376578
Tsp42Ed,1071.403498,0.289543073,0.17580194,1.646984519,0.099561228,0.356112066,1075.455484,862.4146923,1168.32329,806.1306382,1197.561422,1075.0725,1314.866461
CG4630,33.47597448,0.792897043,0.48141085,1.647027779,0.099552336,0.356112066,21.46821783,44.27800054,16.76075605,19.30171951,47.48950467,42.56027317,42.47334958
Mondo,545.5606928,-0.268926377,0.163255366,-1.64727435,0.099501668,0.356112066,639.9573506,574.6076888,617.1901935,522.281822,417.0817367,476.6750595,571.1309987
Nop56,1082.200537,-0.156726173,0.09519013,-1.646454041,0.099670315,0.356359032,1068.299411,1171.354378,1117.055095,1171.727914,1056.125289,1025.702583,965.1390927
CG15744,141.6906452,-0.45430366,0.275971551,-1.646197437,0.099723117,0.356416445,202.4146253,123.7771379,177.4668288,137.3828271,99.10853149,109.8055048,141.8790614
CG12184,12.36960756,-1.11145526,0.675510918,-1.64535499,0.099896626,0.356905072,14.31214522,11.06950013,12.81704875,26.1140911,7.226663755,5.10723278,9.940571179
grh,48.18958278,-1.343251608,0.817116477,-1.64389245,0.10019842,0.357734214,159.4781896,27.17059124,60.14153643,13.62474318,13.42094697,25.5361639,37.95490814
CadN2,5.421971176,-2.169022479,1.319458752,-1.643872896,0.10020246,0.357734214,22.49051392,3.018954582,5.91556096,1.135395265,1.032380536,2.55361639,1.807376578
CG30456,594.7652217,0.820959883,0.499521865,1.643491386,0.100281306,0.357883984,748.3207358,189.1878205,671.416169,181.6632424,641.1083131,846.949436,884.710835
Usp5,425.5833832,0.355634151,0.216497137,1.64267369,0.100450465,0.358355834,355.7590383,518.25387,307.6091699,338.347789,511.0283655,481.7822923,466.3031571
Pp1alpha-96A,731.4033782,-0.198364925,0.120819338,-1.641830922,0.100625049,0.358846682,744.2315515,721.5301452,787.7555346,843.598682,620.4607024,722.6734384,679.5735933
CG43085,13.33066915,1.437655605,0.875774248,1.641582415,0.100676575,0.358898483,8.178368697,2.012636388,13.80297557,6.812371591,6.194283218,24.68495844,31.62909012
Cnx99A,1092.600032,0.207945788,0.126702599,1.641211696,0.100753479,0.359040684,1105.10207,1030.469831,1059.871339,902.6392358,1122.197643,1309.154003,1118.766102
mRpS9,218.2957623,0.274032713,0.166993278,1.6409805,0.100801463,0.359079762,214.6821783,194.2194115,204.0868531,188.475614,218.8646737,236.6351188,271.1064867
Gp93,703.5652854,0.343785345,0.209580289,1.64035152,0.100932099,0.359316913,666.5370488,587.6898253,799.5866565,468.9182445,783.5768271,715.8637947,902.7846007
Rpn3,776.2800663,0.267184873,0.162887482,1.640303287,0.100942123,0.359316913,635.8681662,840.2756921,620.147974,759.5794324,957.0167572,823.1156831,797.9567592
CG5639,6.798986592,2.116345394,1.291263329,1.638972738,0.101218937,0.359518576,5.111480436,0,4.929634134,1.135395265,2.064761073,14.47049288,19.88114236
Taf4,751.494443,-0.277414795,0.169222562,-1.639348748,0.101140649,0.359518576,951.7576571,706.4353722,861.7000466,730.0591555,602.9102332,767.7873279,639.8113086
mRpS5,208.2986653,0.301476248,0.183865833,1.639653451,0.101077243,0.359518576,189.1247761,194.2194115,180.4246093,194.1525903,211.63801,211.0989549,277.4323047
CG4882,473.2999568,0.25874829,0.157873263,1.638962078,0.101221158,0.359518576,399.7177701,511.2096426,385.4973893,449.616525,562.6473923,520.9377436,483.4732346
Lgr4,23.765089,-1.438808125,0.877486853,-1.639691945,0.101069235,0.359518576,74.62761436,16.10109111,30.56373163,9.083162121,4.129522146,11.06567102,20.78483065
CG17646,240.8488066,-0.57742287,0.352302724,-1.638996327,0.101214025,0.359518576,182.9909996,345.1671406,177.4668288,416.6900623,173.4399301,208.5453385,181.6413461
l(2)41Ab,29.04221866,-1.044073401,0.637208696,-1.63851091,0.10131516,0.359720736,65.42694958,14.08845472,27.60595115,42.00962481,18.58284965,23.83375297,11.74794776
Btk29A,187.1231517,-0.788914404,0.481762554,-1.637558582,0.101513809,0.360294163,355.7590383,132.8340016,320.4262187,104.4563644,88.78472613,170.2410927,137.3606199
pcs,429.7932006,-0.327233444,0.199927905,-1.63675723,0.101681206,0.360633524,497.8581944,431.7105053,472.25895,481.4075924,314.8760636,325.160487,485.2806112
gkt,64.11210783,0.642267667,0.392405478,1.636744903,0.101683782,0.360633524,55.20398871,59.37277345,58.16968278,34.06185795,54.71616843,114.0615321,73.19875141
P58IPK,516.6667071,0.236653829,0.144757326,1.63483145,0.102084386,0.361040249,483.5460492,458.8810965,552.119023,424.6378292,595.6835695,524.3425654,577.4568167
Hmx,5.967349824,-2.68044982,1.639820781,-1.634599251,0.102133085,0.361040249,22.49051392,9.056863747,5.91556096,0,0,3.404821853,0.903688289
CG15812,298.2131623,-0.306032481,0.187154171,-1.635189208,0.10200939,0.361040249,363.937407,278.7501398,362.8210722,294.0673737,232.2856207,295.3682958,260.2622272
DIP-delta,10.87560613,-2.164161246,1.323971937,-1.634597521,0.102133448,0.361040249,54.18169262,3.018954582,6.901487787,1.135395265,2.064761073,3.404821853,5.422129734
CG6321,226.2989457,0.537701692,0.328834005,1.635176664,0.102012019,0.361040249,142.0991561,243.529003,124.2267802,248.6515631,332.4265327,282.6002138,210.5593713
Cul6,113.2134793,-0.407904724,0.249412763,-1.635460508,0.101952547,0.361040249,108.3633852,141.8908654,106.4800973,149.872175,91.88186774,107.2518884,86.75407575
Rpn10,769.7097326,0.249057086,0.152363153,1.634628069,0.10212704,0.361040249,703.339708,841.2820103,627.0494618,676.695578,923.9805801,852.9078743,762.7129159
nej,989.8890639,-0.50857108,0.310881802,-1.63589852,0.101860828,0.361040249,1625.450779,824.174601,1297.479704,790.2351045,589.4892863,755.019246,1047.374727
DIP1,462.3842059,-0.288757135,0.176601784,-1.635074843,0.102033359,0.361040249,476.3899766,452.8431873,558.0345839,518.8756362,329.3293911,435.8171972,465.3994688
srp,166.7665977,-0.597132984,0.365463916,-1.633904082,0.102278992,0.361117121,252.5071335,183.1499113,244.509853,99.91478333,155.889461,131.0856414,100.3094001
CG11523,188.458946,0.259300212,0.158711813,1.633780166,0.102305018,0.361117121,181.9687035,162.0172292,176.480902,174.8508708,204.4113462,217.0573932,202.4261767
Cht11,113.7390518,-0.392106749,0.24002056,-1.633638169,0.102334848,0.361117121,105.296497,138.8719108,120.2830729,141.9244081,113.561859,87.67416273,88.56145232
HP1D3csd,70.24225225,-1.264705625,0.774179716,-1.633607287,0.102341337,0.361117121,142.0991561,34.2148186,181.4105361,17.03092898,22.7123718,40.00665678,54.22129734
Zyx,407.0776156,-0.276056583,0.168935028,-1.634099135,0.102238037,0.361117121,396.6508818,492.0895969,388.4551697,482.5429877,386.1103206,385.5960749,318.0982777
CG7857,113.4796529,0.359807113,0.22048411,1.631895893,0.102701419,0.362255916,95.07353611,111.7013195,84.7897071,113.5395265,123.8856644,137.0440796,128.323737
Tm2,21.34759821,-0.967382792,0.593173796,-1.630858948,0.102920086,0.362822139,19.42362566,36.22745499,14.7889024,37.46804375,19.61523019,11.06567102,10.84425947
serp,12.53484235,-1.365225269,0.83725189,-1.630602792,0.10297416,0.362822139,21.46821783,8.050545553,30.56373163,7.947766856,4.129522146,11.06567102,4.518441445
CG3548,90.72400203,-0.430189124,0.263805908,-1.630703144,0.102952973,0.362822139,96.09583219,109.6886832,109.4378778,93.10241174,56.7809295,86.82295726,83.13932259
CG7142,535.9978263,1.411507993,0.86583255,1.630232074,0.103052458,0.362870955,536.7054458,140.8845472,483.1041451,91.96701647,219.8970542,1079.328528,1200.098048
ETH,5.711089536,-1.544573061,0.947484481,-1.630182966,0.103062833,0.362870955,12.26755305,5.03159097,8.873341441,5.676976326,2.064761073,4.256027317,1.807376578
Rpt5,890.5655881,0.217164975,0.133377618,1.628196538,0.103483219,0.364177276,754.4545123,903.6737383,790.713315,881.0667257,1081.934802,889.5097092,932.6063143
RpL10,1675.002257,-0.183058056,0.11245056,-1.627898133,0.103546487,0.364177276,1750.170901,1703.696703,1676.075605,1930.171951,1715.816451,1445.346877,1503.737313
Echs1,897.0698992,-0.22483458,0.138104651,-1.628001505,0.103524567,0.364177276,852.5949367,990.217103,894.2356318,1087.708664,870.2967922,743.1023695,841.3337971
CG34353,8.318174354,1.645754592,1.01115366,1.627600885,0.103609541,0.364266963,9.200664784,1.006318194,4.929634134,2.27079053,6.194283218,24.68495844,9.940571179
Jon99Ciii,241.5472613,0.671440063,0.412683795,1.627008551,0.103735282,0.364443828,112.4525696,280.7627762,125.212707,252.0577489,371.6569931,188.1164074,360.5716273
CG34057,112.2679922,-0.766216868,0.471024626,-1.626702356,0.103800328,0.364443828,176.8572231,83.52441011,209.0164873,76.07148276,49.55426575,85.12054634,105.7315298
LysX,91.41945377,1.13246811,0.696269555,1.626479432,0.103847705,0.364443828,12.26755305,79.49913733,103.5223168,46.55120587,186.8608771,47.66750595,163.5675803
CG14130,133.8830957,0.510125477,0.313578002,1.626789738,0.103781762,0.364443828,70.53843001,132.8340016,95.63490219,154.4137561,164.1485053,165.9850654,153.6270091
Su(dx),445.3050462,0.492375245,0.302701504,1.626603232,0.103821392,0.364443828,569.4189205,269.693276,390.4270234,287.2550021,430.5026837,520.0865381,649.7518798
flfl,729.5688513,-0.227554954,0.139974635,-1.625687071,0.104016242,0.364639518,805.5693167,644.0436442,854.7985588,808.4014288,689.6301983,651.1721795,653.366633
Txl,576.5606759,0.230651202,0.141854635,1.625968741,0.103956305,0.364639518,502.9696749,617.8793712,483.1041451,542.7189367,658.6587822,648.6185631,581.9752581
CG32625,16.48657491,1.038107672,0.638505004,1.625841091,0.103983465,0.364639518,13.28984913,8.050545553,4.929634134,19.30171951,27.87427448,22.98254751,18.97745407
Mlf,559.0136429,-0.231316075,0.1423593,-1.624875054,0.104189185,0.364981975,559.1959597,519.2601881,640.8524374,668.7478112,504.8340823,528.5985927,491.6064292
rost,1099.907025,-0.222400817,0.136862729,-1.62499183,0.1041643,0.364981975,1211.420863,1144.183787,1132.829924,1198.9774,853.7787036,994.2079812,1163.950516
CG17145,554.0665631,-1.447523326,0.892179065,-1.622458297,0.104705256,0.366406497,369.0488875,1103.931059,511.6960231,1057.052992,659.6911627,103.8470665,73.19875141
RpS13,1193.123174,-0.189197843,0.11660783,-1.622514053,0.104693327,0.366406497,1253.335003,1205.569197,1197.901094,1380.640642,1206.852847,1008.678474,1098.884959
CG10337,247.2101609,0.855615715,0.527363526,1.622440069,0.104709156,0.366406497,279.0868318,71.44859178,301.693609,81.74845909,275.6456032,297.9219122,422.9261193
Sf3b3,81.84467768,0.782607076,0.482417962,1.622259406,0.104747817,0.3664096,80.76139089,50.3159097,74.93043883,44.28041534,52.65140736,179.6043528,90.3688289
Wee1,140.007056,-0.399821957,0.246499838,-1.621996836,0.104804026,0.366474062,175.834927,124.7834561,181.4105361,143.0598034,97.04377042,125.9784086,131.9384902
Trxr-1,923.7884842,0.340588869,0.210018702,1.621707333,0.104866028,0.366558729,976.2927632,801.0292825,931.7008513,607.4364668,893.009164,1017.190529,1239.860333
CG16782,23.15853199,1.059104709,0.653420559,1.620862237,0.105047187,0.367059696,30.66888261,10.06318194,16.76075605,5.676976326,30.97141609,40.85786224,27.11064867
pds5,572.8397693,-0.268316086,0.16559661,-1.620299384,0.105167981,0.367349448,689.0275627,488.0643241,691.1347055,602.8948858,502.7693212,521.788949,514.1986365
XNP,538.5276163,-0.255129227,0.157536248,-1.619495383,0.105340719,0.367820365,639.9573506,562.5318705,622.1198277,490.4907545,437.7293474,538.8130583,478.0511049
Ppt1,248.1079831,0.425477155,0.262840135,1.618767831,0.105497226,0.36823429,187.0801839,247.5542757,185.3542434,245.2453773,345.8474797,326.8628979,198.8114236
CG9123,52.52120149,0.507866043,0.313809716,1.618388525,0.105578893,0.368386786,42.93643566,42.26536415,38.45114624,54.49897273,62.97521272,73.20366985,53.31760905
CG40178,344.0047818,-0.2624541,0.162222829,-1.617861686,0.105692409,0.368464196,356.7813344,335.1039586,351.9758771,438.2625723,311.778922,328.5653089,285.5654993
MESR4,461.9727857,-0.366653674,0.226612929,-1.617973328,0.105668346,0.368464196,586.797954,408.5651868,621.1339008,428.044015,342.7503381,370.2743766,476.2437283
CG15312,334.999014,0.851378469,0.526271013,1.617756721,0.105715037,0.368464196,258.6409101,137.8655926,453.5263403,146.4659892,180.6665939,464.758183,703.0694889
ct,84.73857297,1.022441238,0.632340448,1.616915763,0.105896465,0.368963977,117.56405,25.15795485,65.07117056,27.24948636,56.7809295,125.1272031,176.2192164
ChT,7.584327133,1.653021939,1.022478231,1.616681792,0.105946986,0.369007456,6.133776523,2.012636388,1.971853653,5.676976326,25.80951341,4.256027317,7.229506312
CG34354,10.50592337,-1.887425266,1.16781072,-1.616208203,0.106049306,0.369123849,42.93643566,5.03159097,9.859268267,3.406185795,1.032380536,7.66084917,3.614753156
ImpE1,13.96589561,-1.831067416,1.132963677,-1.616174863,0.106056512,0.369123849,59.29317306,3.018954582,12.81704875,5.676976326,2.064761073,7.66084917,7.229506312
Cul5,173.1211406,-0.287869686,0.178175052,-1.615656527,0.106168595,0.369178416,192.1916644,208.3078662,179.4386825,170.3092898,165.1808858,146.4073397,150.012256
fax,770.5164045,0.450584117,0.278984598,1.615085996,0.106292073,0.369178416,816.8145736,482.026415,830.1503881,534.7711699,646.2702158,1133.805677,949.7763918
CG9706,147.1255699,0.574261704,0.355646088,1.614699903,0.106375699,0.369178416,82.80598306,169.0614566,84.7897071,149.872175,230.2208596,168.5386817,144.5901262
Rcd2,415.3821556,0.949108798,0.587837201,1.614577634,0.106402192,0.369178416,375.182664,103.650774,559.0205108,149.872175,237.4475234,637.5528921,844.9485502
eEF1beta,1374.511876,-0.153903968,0.095317144,-1.614651486,0.106386189,0.369178416,1419.969265,1388.719108,1408.889435,1529.377422,1355.515644,1207.860552,1311.251707
RpL18A,1223.630885,-0.188953403,0.117084132,-1.613825889,0.106565197,0.369178416,1292.182254,1248.840879,1230.43668,1394.265386,1253.309971,1024.000172,1122.380855
pen-2,115.4694244,0.578719765,0.358575098,1.613942988,0.106539793,0.369178416,62.36006132,112.7076377,77.88821931,128.299665,186.8608771,135.3416687,104.8278415
Cyp4d1,67.2262998,-1.602540487,0.992441395,-1.614745712,0.106365774,0.369178416,10.22296087,161.0109111,94.64897537,111.268736,77.42854023,4.256027317,11.74794776
CG2256,9.287447686,-1.389999988,0.861188812,-1.614047893,0.106517038,0.369178416,14.31214522,9.056863747,22.67631701,4.54158106,3.097141609,6.809643707,4.518441445
PGRP-SA,37.01896874,1.192173542,0.738581941,1.614138495,0.106497389,0.369178416,38.84725131,10.06318194,37.46521942,9.083162121,19.61523019,67.2452316,76.81350457
meso18E,14.45402896,-1.433695343,0.8874864,-1.615456128,0.106211954,0.369178416,26.57969827,15.09477291,28.59187798,9.083162121,1.032380536,14.47049288,6.325818023
CG31935,235.9441812,-0.2894064,0.17927408,-1.614323721,0.106457227,0.369178416,242.2841727,254.5985031,260.2846823,265.682492,250.8684703,188.1164074,189.7745407
RpS21,1225.008027,-0.188703806,0.11693006,-1.61381774,0.106566965,0.369178416,1290.137662,1245.821924,1211.70407,1423.785662,1234.727122,1040.173076,1128.706673
Nepl20,6.051218417,-1.770959907,1.098205109,-1.612594854,0.106832557,0.369430169,8.178368697,10.06318194,11.83112192,4.54158106,4.129522146,0,3.614753156
DNApol-alpha50,171.8998684,0.565899114,0.350960171,1.612431155,0.10686815,0.369430169,133.9207874,149.9414109,94.64897537,191.8817998,256.030373,248.5519953,128.323737
cmb,130.6692773,-0.377862568,0.23433562,-1.612484554,0.106856538,0.369430169,173.7903348,118.7455469,146.9030972,140.7890129,100.140912,127.6808195,106.6352181
CG17364,8.612625754,1.993308586,1.236194681,1.612455236,0.106862913,0.369430169,4.089184349,0,9.859268267,1.135395265,7.226663755,28.94098575,9.03688289
CG32750,9.690476307,2.143809806,1.329530887,1.612455812,0.106862788,0.369430169,0,9.056863747,0.985926827,5.676976326,35.10093824,2.55361639,14.45901262
CG31937,342.1475367,0.379792104,0.235469547,1.612913893,0.106763216,0.369430169,254.5517257,389.4451411,299.7217553,267.9532826,435.6645864,302.1779395,445.5183265
CG31248,336.3940016,-0.507993793,0.315184019,-1.611737149,0.10701915,0.369820362,279.0868318,483.0327332,274.0876578,505.250893,354.106524,217.9085986,241.2847732
stck,925.0886619,-0.243368957,0.151035179,-1.611339544,0.107105736,0.369987764,1136.793249,850.338874,1084.519509,892.4206784,787.7063493,841.8422033,881.9997701
E(var)3-9,181.1144204,-0.351661183,0.218360048,-1.610464853,0.107296413,0.37051449,230.0166196,191.2004569,181.4105361,196.4233809,128.0151865,189.8188183,150.9159443
RpS15Aa,1111.534584,-0.198659062,0.123433972,-1.609435866,0.107521068,0.371158135,1187.908053,1115.000559,1110.153607,1292.079812,1125.294785,921.0043113,1029.300961
CaMKI,407.7052884,-0.398377794,0.247604584,-1.608927378,0.107632222,0.37140966,359.8482227,440.767369,372.6803405,646.0399059,351.0093824,374.5304039,309.0613948
CG31446,218.0091992,1.095434126,0.68127313,1.607922105,0.10785224,0.371810629,81.78368697,196.2320478,40.4229999,267.9532826,624.5902245,151.5145725,163.5675803
CG11902,107.6739338,-0.495470527,0.308234786,-1.607445197,0.107956742,0.371810629,138.0099718,112.7076377,152.8186581,88.56083068,73.29901808,111.5079157,76.81350457
scf,95.28401921,-0.648059198,0.403185777,-1.607346376,0.107978406,0.371810629,136.9876757,96.60654663,136.0579021,81.74845909,37.16569931,96.18621736,82.2356343
RpL31,875.404105,-0.197027383,0.122577079,-1.607375415,0.10797204,0.371810629,903.709741,867.4462833,903.1089733,1029.803505,864.1025089,734.5903149,825.0674079
eIF3b,2045.479192,-0.164616537,0.10238413,-1.607832549,0.107871858,0.371810629,2290.965531,2166.603072,2216.363506,1904.05786,1854.155443,1914.361087,1971.847847
Eglp4,149.6754846,0.864131665,0.537396416,1.607996701,0.107835901,0.371810629,59.29317306,178.1183204,82.81785345,122.6226886,283.9046475,70.65005346,250.3216561
CG31111,146.4949081,-0.437336858,0.272227414,-1.60651292,0.108161259,0.372308094,162.5450779,161.0109111,180.4246093,155.5491513,156.9218415,127.6808195,81.33194601
Pkc98E,1029.214013,-0.376735869,0.234537252,-1.606294377,0.108209245,0.372330323,1268.669444,890.5916018,1365.508655,1042.292853,635.9464104,911.6410513,1089.848077
CG4603,143.5439516,0.441027151,0.274602845,1.60605456,0.108261923,0.372330323,116.5417539,165.0361838,102.53639,113.5395265,198.217063,177.9019418,131.0348019
CG3520,133.5433808,0.389243433,0.242374419,1.60595922,0.10828287,0.372330323,94.05124002,118.7455469,118.3112192,140.7890129,137.3066113,142.1513124,183.4487227
mtg,26.40275655,0.797450394,0.496937019,1.604731309,0.108552949,0.372603381,18.40132957,13.08213652,30.56373163,18.16632424,27.87427448,30.64339668,46.08810274
pdm3,36.13952338,-1.662066491,1.035732932,-1.604724962,0.108554346,0.372603381,75.64991045,14.08845472,103.5223168,11.35395265,1.032380536,23.83375297,23.49589551
IntS8,179.6093254,-0.363551074,0.22649942,-1.605086113,0.108474855,0.372603381,155.3890052,182.1435931,245.4957799,211.1835193,153.8246999,143.8537233,165.3749569
Fum1,991.7151022,0.199752834,0.124469844,1.604829145,0.10853141,0.372603381,913.9327019,1081.792059,886.3482172,847.0048678,1078.837661,1076.774911,1057.315298
CG34408,318.6777178,0.262640684,0.163647927,1.604912991,0.108512954,0.372603381,338.3800048,266.6743214,314.5106577,254.3285394,353.0741434,354.9526782,348.8236796
Ttc19,158.0979129,0.588163623,0.366573898,1.604488552,0.108606406,0.372650208,98.14042437,179.1246385,74.93043883,168.0384992,241.5770455,181.3067637,163.5675803
Act57B,25.39966815,-1.346040164,0.8390662,-1.604212116,0.108667305,0.372727319,22.49051392,47.29695512,20.70446336,46.55120587,30.97141609,2.55361639,7.229506312
CG10543,579.2654688,-0.342486217,0.213558543,-1.603711154,0.108777736,0.37297421,804.5470206,518.25387,696.0643397,529.0941935,428.4379226,521.788949,556.671986
CG42495,293.8016371,-0.292389581,0.182475293,-1.60235162,0.109077877,0.373211783,333.2685244,309.9460038,280.9891456,350.8371369,309.7141609,232.3790915,239.4773966
CG17233,558.9617873,-0.389250412,0.242870954,-1.602704668,0.108999872,0.373211783,756.4991045,581.6519162,712.8250957,437.1271771,373.7217542,499.657607,551.2498563
tou,665.6013071,-0.59519828,0.371399158,-1.602583818,0.109026569,0.373211783,1191.997238,481.0200968,937.6164122,502.9801024,346.8798602,535.4082364,663.3072041
CG1998,49.031367,0.766070415,0.477894277,1.603012321,0.108931934,0.373211783,56.22628479,20.12636388,39.43707307,35.19725322,39.23046038,83.41813541,69.58399826
CG14212,8.377362717,-1.331772341,0.83110581,-1.602410097,0.109064953,0.373211783,16.35673739,7.044227359,12.81704875,9.083162121,2.064761073,7.66084917,3.614753156
CG9586,557.6555928,0.206693611,0.128962327,1.602744119,0.108991159,0.373211783,523.4155966,509.1970062,481.1322914,579.0515852,608.0721359,558.390784,644.3297501
CG10163,35.14506134,0.899841465,0.561811205,1.601679455,0.109226511,0.373588559,36.80265914,28.17690943,21.69039019,15.89553371,21.67999126,47.66750595,74.1024397
CG8665,46.46507231,0.947550942,0.591795942,1.601144712,0.109344871,0.373861562,7.15607261,48.30327332,35.49336576,42.00962481,72.26663755,61.28679336,58.73973879
Mul1,59.34808019,0.681736378,0.425966128,1.600447392,0.109499369,0.373994323,42.93643566,56.35381887,23.66224384,65.85292538,67.10473486,65.54282068,93.98358206
CG15892,5.347196394,-1.800986424,1.125170044,-1.600634886,0.109457811,0.373994323,11.24525696,7.044227359,7.887414614,4.54158106,3.097141609,0,3.614753156
CG42792,12.24598684,-2.032611465,1.269935931,-1.600562214,0.109473917,0.373994323,29.64658653,1.006318194,38.45114624,3.406185795,1.032380536,7.66084917,4.518441445
CG18870,153.5770275,-0.427315358,0.267028953,-1.60025852,0.109541245,0.374005658,172.7680387,151.9540473,192.2557312,173.7154756,85.68758452,154.0681889,144.5901262
CG42337,134.1624954,0.497948276,0.311251445,1.599826392,0.109637102,0.374201229,128.809307,78.49281914,140.0016094,108.9979455,113.561859,181.3067637,187.9671641
CG1965,245.5645735,-0.229410056,0.143438101,-1.599366244,0.109739248,0.374268095,277.0422396,264.661685,260.2846823,246.3807725,216.7999126,232.3790915,221.4036308
timeout,216.1178556,0.341312672,0.213575132,1.598091819,0.110022544,0.374268095,247.3956531,196.2320478,160.7060728,171.444685,229.1884791,249.4032008,258.4548507
CG43175,33.95438455,-1.299203345,0.812942028,-1.598150052,0.110009587,0.374268095,64.40465349,29.18322763,67.04302422,21.57251004,6.194283218,6.809643707,42.47334958
Rcc1,360.0194416,0.318548739,0.199195707,1.599174718,0.109781786,0.374268095,321.0009714,358.2492771,240.5661457,382.6282043,429.4703031,392.4057186,395.8154706
RpS4,1944.466724,-0.17203738,0.107664889,-1.597896785,0.11006595,0.374268095,2076.283353,1949.238342,1930.444727,2215.156162,1966.684922,1676.023557,1797.436007
CG17027,50.51513638,0.952595796,0.595981031,1.598365966,0.109961554,0.374268095,11.24525696,66.41700081,33.52151211,32.92646269,93.94662881,45.96509502,69.58399826
BBS4,3.244145159,-2.508072929,1.568551455,-1.598973958,0.109826389,0.374268095,4.089184349,4.025272776,2.95778048,9.083162121,0,2.55361639,0
PIG-O,307.2267892,0.272023301,0.170245605,1.59782863,0.110081121,0.374268095,230.0166196,320.0091857,280.0032188,298.6089547,335.5236743,328.5653089,357.8605625
RpL41,672.1229846,-0.212628898,0.1330655,-1.597926568,0.110059321,0.374268095,693.1167471,685.3026902,687.1909982,790.2351045,677.2416319,547.3251129,624.4486077
Eaat2,21.98253942,-1.624892772,1.016930453,-1.597840606,0.110078455,0.374268095,48.0479161,7.044227359,63.09931691,5.676976326,3.097141609,17.87531473,9.03688289
Rab6,1009.654673,0.367715756,0.229899449,1.599463407,0.109717673,0.374268095,1180.751981,747.6944182,997.7579487,665.3416254,1027.218634,1116.781568,1332.036538
Arp1,898.1801783,0.177083864,0.110870561,1.597212664,0.110218311,0.374603229,846.4611602,840.2756921,880.4326563,834.5155199,985.9234122,863.1223398,1036.530468
GstD3,494.1725938,-0.525719688,0.329500248,-1.595506198,0.110599085,0.375765718,675.7377136,424.6662779,716.768803,457.5642918,220.9294348,465.6093885,497.9322473
CdGAPr,430.1866512,-0.434571347,0.272410437,-1.595281558,0.110649288,0.375804654,532.6162614,348.1860952,620.147974,435.9917818,254.9979925,385.5960749,433.7703787
ana,34.1069539,-1.357578796,0.85112025,-1.595049343,0.110701202,0.375849374,120.6309383,33.2085004,20.70446336,10.21855739,10.32380536,24.68495844,18.97745407
CG34250,183.2008935,-0.298315996,0.187155124,-1.593950457,0.110947132,0.37642166,189.1247761,204.2825934,180.4246093,222.537472,183.7637355,154.0681889,148.2048794
